,user_id,article_id,views,time_on_page,type,text,url,tokens,dominant_topic,topic_label
0,user_1,18,3,52.43,h3,"Best Memorial Day Mattress Deals: Shop Major Savings on High-Quality Mattresses From Saatva, Nectar, Helix and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'mattress', 'deal', 'shop', 'major', 'saving', 'high', 'quality', 'mattress', 'saatva', 'nectar', 'helix']",7,Memorial Day Sales _ Home Comfort
1,user_4,18,5,93.5,h3,"Best Memorial Day Mattress Deals: Shop Major Savings on High-Quality Mattresses From Saatva, Nectar, Helix and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'mattress', 'deal', 'shop', 'major', 'saving', 'high', 'quality', 'mattress', 'saatva', 'nectar', 'helix']",7,Memorial Day Sales _ Home Comfort
2,user_6,18,2,44.53,h3,"Best Memorial Day Mattress Deals: Shop Major Savings on High-Quality Mattresses From Saatva, Nectar, Helix and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'mattress', 'deal', 'shop', 'major', 'saving', 'high', 'quality', 'mattress', 'saatva', 'nectar', 'helix']",7,Memorial Day Sales _ Home Comfort
3,user_8,18,4,64.89,h3,"Best Memorial Day Mattress Deals: Shop Major Savings on High-Quality Mattresses From Saatva, Nectar, Helix and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'mattress', 'deal', 'shop', 'major', 'saving', 'high', 'quality', 'mattress', 'saatva', 'nectar', 'helix']",7,Memorial Day Sales _ Home Comfort
4,user_1,10,1,10.03,h3,"Memorial Day Sale: Apple’s Latest 11-Inch iPad Is Down to $299, but This Price Won’t Last",https://www.cnet.com/,"['memorial', 'day', 'sale', 'apple', 'late', 'inch', 'ipad', 'price', 'will']",11,Generative AI & Tech Advice
5,user_3,10,2,82.75,h3,"Memorial Day Sale: Apple’s Latest 11-Inch iPad Is Down to $299, but This Price Won’t Last",https://www.cnet.com/,"['memorial', 'day', 'sale', 'apple', 'late', 'inch', 'ipad', 'price', 'will']",11,Generative AI & Tech Advice
6,user_1,0,2,83.54,h1,CNET,https://www.cnet.com/,['cnet'],8,Tech Launches & Exhibitions
7,user_8,0,3,62.77,h1,CNET,https://www.cnet.com/,['cnet'],8,Tech Launches & Exhibitions
8,user_1,19,4,92.74,h3,Memorial Day Sales: Save Up to 63% on Our Favorite Arlo Security Cameras and More,https://www.cnet.com/,"['memorial', 'day', 'sale', 'save', 'favorite', 'arlo', 'security', 'camera']",7,Memorial Day Sales _ Home Comfort
9,user_8,19,4,102.46,h3,Memorial Day Sales: Save Up to 63% on Our Favorite Arlo Security Cameras and More,https://www.cnet.com/,"['memorial', 'day', 'sale', 'save', 'favorite', 'arlo', 'security', 'camera']",7,Memorial Day Sales _ Home Comfort
10,user_1,17,1,58.59,h3,"Today's Wordle Hints, Answer and Help for May 26, #1437",https://www.cnet.com/,"['today', 'wordle', 'hint', 'answer', 'help']",9,Internet Services & Comparisons
11,user_5,17,5,31.41,h3,"Today's Wordle Hints, Answer and Help for May 26, #1437",https://www.cnet.com/,"['today', 'wordle', 'hint', 'answer', 'help']",9,Internet Services & Comparisons
12,user_8,17,5,94.7,h3,"Today's Wordle Hints, Answer and Help for May 26, #1437",https://www.cnet.com/,"['today', 'wordle', 'hint', 'answer', 'help']",9,Internet Services & Comparisons
13,user_9,17,2,92.83,h3,"Today's Wordle Hints, Answer and Help for May 26, #1437",https://www.cnet.com/,"['today', 'wordle', 'hint', 'answer', 'help']",9,Internet Services & Comparisons
14,user_1,24,1,63.86,h2,Home,https://www.cnet.com/,['home'],4,Home Tech Essentials & Appliances
15,user_4,24,5,31.58,h2,Home,https://www.cnet.com/,['home'],4,Home Tech Essentials & Appliances
16,user_10,24,5,22.16,h2,Home,https://www.cnet.com/,['home'],4,Home Tech Essentials & Appliances
17,user_1,34,3,118.27,p,"Our shopping experts unearth the best tech and home essential deals on Amazon every day. If you make a purchase using our links, CNET may earn a commission.",https://www.cnet.com/,"['shopping', 'expert', 'unearth', 'good', 'tech', 'home', 'essential', 'deal', 'amazon', 'day', 'purchase', 'link', 'cnet', 'earn', 'commission']",7,Memorial Day Sales _ Home Comfort
18,user_6,34,1,21.12,p,"Our shopping experts unearth the best tech and home essential deals on Amazon every day. If you make a purchase using our links, CNET may earn a commission.",https://www.cnet.com/,"['shopping', 'expert', 'unearth', 'good', 'tech', 'home', 'essential', 'deal', 'amazon', 'day', 'purchase', 'link', 'cnet', 'earn', 'commission']",7,Memorial Day Sales _ Home Comfort
19,user_1,11,1,63.8,h3,Memorial Day Deals: You Can Grab This Impressive 100W Baseus USB-C Cable at a 10% Discount if You’re Quick,https://www.cnet.com/,"['memorial', 'day', 'deal', 'grab', 'impressive', 'baseus', 'usb', 'c', 'cable', 'discount', 'quick']",1,Holiday Tech Deals (Memorial Day)
20,user_8,11,5,43.86,h3,Memorial Day Deals: You Can Grab This Impressive 100W Baseus USB-C Cable at a 10% Discount if You’re Quick,https://www.cnet.com/,"['memorial', 'day', 'deal', 'grab', 'impressive', 'baseus', 'usb', 'c', 'cable', 'discount', 'quick']",1,Holiday Tech Deals (Memorial Day)
21,user_1,16,4,54.2,h3,"Today's NYT Strands Hints, Answers and Help for May 26, #449",https://www.cnet.com/,"['today', 'nyt', 'strand', 'hint', 'answer', 'help']",6,Internet Access & Connectivity
22,user_6,16,2,94.09,h3,"Today's NYT Strands Hints, Answers and Help for May 26, #449",https://www.cnet.com/,"['today', 'nyt', 'strand', 'hint', 'answer', 'help']",6,Internet Access & Connectivity
23,user_8,16,4,92.26,h3,"Today's NYT Strands Hints, Answers and Help for May 26, #449",https://www.cnet.com/,"['today', 'nyt', 'strand', 'hint', 'answer', 'help']",6,Internet Access & Connectivity
24,user_1,37,5,88.8,p,"CNET, Mashable, PCMag, ZDNET and Lifehacker scoured miles of booths and exhibits, then debated and handpicked the best new products of CES 2025.",https://www.cnet.com/,"['cnet', 'mashable', 'pcmag', 'zdnet', 'lifehacker', 'scour', 'mile', 'booth', 'exhibit', 'debate', 'handpicke', 'good', 'new', 'product', 'ce']",8,Tech Launches & Exhibitions
25,user_1,42,4,50.46,p,Immerse yourself in our in-depth stories.,https://www.cnet.com/,"['immerse', 'depth', 'story']",8,Tech Launches & Exhibitions
26,user_4,42,5,75.35,p,Immerse yourself in our in-depth stories.,https://www.cnet.com/,"['immerse', 'depth', 'story']",8,Tech Launches & Exhibitions
27,user_5,42,1,91.15,p,Immerse yourself in our in-depth stories.,https://www.cnet.com/,"['immerse', 'depth', 'story']",8,Tech Launches & Exhibitions
