type,text,url,tokens,dominant_topic,topic_label
h1,CNET,https://www.cnet.com/,['cnet'],8,Tech Launches & Exhibitions
h2,Today's Top Deals,https://www.cnet.com/,"['today', 'deal']",10,EVs & Driving in Extreme Conditions
h2,Memorial Day,https://www.cnet.com/,"['memorial', 'day']",7,Memorial Day Sales _ Home Comfort
h2,More to Explore,https://www.cnet.com/,['explore'],10,EVs & Driving in Extreme Conditions
h2,Latest,https://www.cnet.com/,['late'],6,Internet Access & Connectivity
h3,80+ Best Memorial Day Deals: Shop Top Sales Vetted by CNET Experts Before Deals Disappear,https://www.cnet.com/,"['good', 'memorial', 'day', 'deal', 'shop', 'sale', 'vet', 'cnet', 'expert', 'deal', 'disappear']",1,Holiday Tech Deals (Memorial Day)
h3,Memorial Day Deal: Beat the Heat With This Yoshenmo Handheld Fan for Just $11,https://www.cnet.com/,"['memorial', 'day', 'deal', 'beat', 'heat', 'yoshenmo', 'handheld', 'fan']",3,Sleep Tech & Personal Gadgets
h3,Best iPhone in 2025: Here's Which Apple Phone You Should Buy,https://www.cnet.com/,"['good', 'iphone', 'apple', 'phone', 'buy']",1,Holiday Tech Deals (Memorial Day)
h3,"Best Amazon Memorial Day Deals: Shop 70+ Bargains From Apple, Sony, Samsung and More",https://www.cnet.com/,"['good', 'amazon', 'memorial', 'day', 'deal', 'shop', 'bargain', 'apple', 'sony', 'samsung']",1,Holiday Tech Deals (Memorial Day)
h3,"50+ Best Memorial Day Deals Under $25: Deep Discounts on Tech, Home Essentials and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'deal', 'deep', 'discount', 'tech', 'home', 'essential']",1,Holiday Tech Deals (Memorial Day)
h3,"Memorial Day Sale: Apple’s Latest 11-Inch iPad Is Down to $299, but This Price Won’t Last",https://www.cnet.com/,"['memorial', 'day', 'sale', 'apple', 'late', 'inch', 'ipad', 'price', 'will']",11,Generative AI & Tech Advice
h3,Memorial Day Deals: You Can Grab This Impressive 100W Baseus USB-C Cable at a 10% Discount if You’re Quick,https://www.cnet.com/,"['memorial', 'day', 'deal', 'grab', 'impressive', 'baseus', 'usb', 'c', 'cable', 'discount', 'quick']",1,Holiday Tech Deals (Memorial Day)
h3,Memorial Day Sale: Prime Members Can Save $30 on This Baseus Blade 6-in-1 Power Strip and Get 2 Free 45W USB-C Chargers,https://www.cnet.com/,"['memorial', 'day', 'sale', 'prime', 'member', 'save', 'baseus', 'blade', 'power', 'strip', 'free', 'usb', 'c', 'charger']",8,Tech Launches & Exhibitions
h3,How to Watch the New York Knicks vs. Indiana Pacers Game 3 Tonight for Free,https://www.cnet.com/,"['watch', 'new', 'york', 'knicks', 'indiana', 'pacer', 'game', 'tonight', 'free']",1,Holiday Tech Deals (Memorial Day)
h3,"Best Memorial Day Laptop Deals: I Found Savings of Up to $450 on the Best Devices From HP, Samsung, and More",https://www.cnet.com/,"['good', 'memorial', 'day', 'laptop', 'deal', 'find', 'saving', 'good', 'device', 'hp', 'samsung']",7,Memorial Day Sales _ Home Comfort
h3,Memorial Day Deal: Save $130 on the Powerful Yet Portable JBL Xtreme 4 Speaker,https://www.cnet.com/,"['memorial', 'day', 'deal', 'save', 'powerful', 'portable', 'jbl', 'xtreme', 'speaker']",7,Memorial Day Sales _ Home Comfort
h3,"Today's NYT Strands Hints, Answers and Help for May 26, #449",https://www.cnet.com/,"['today', 'nyt', 'strand', 'hint', 'answer', 'help']",6,Internet Access & Connectivity
h3,"Today's Wordle Hints, Answer and Help for May 26, #1437",https://www.cnet.com/,"['today', 'wordle', 'hint', 'answer', 'help']",9,Internet Services & Comparisons
